2026-06-30 20:14:20 | UnderwritingAgent | Credit Check | REJECTED | Credit Score: 590
2026-06-30 20:14:20 | UnderwritingAgent | Loan Approval | APPROVED | Loan Amount: 250000
2026-06-30 20:14:20 | UnderwritingAgent | Credit Check | REJECTED | Credit Score: 680
2026-06-30 20:14:20 | UnderwritingAgent | Loan Evaluation | FAILED | CUST999 not found
2026-06-30 20:15:18 | VerificationAgent | KYC Verification | VERIFIED | CUST001
2026-06-30 20:15:18 | VerificationAgent | KYC Verification | FAILED | PAN mismatch
2026-06-30 20:15:18 | VerificationAgent | KYC Verification | FAILED | Address mismatch
2026-06-30 20:15:18 | VerificationAgent | KYC Verification | FAILED | KYC not verified
2026-06-30 20:21:17 | UnderwritingAgent | Loan Approval | APPROVED | Loan Amount: 250000
2026-06-30 20:21:17 | UnderwritingAgent | Credit Check | REJECTED | Credit Score: 590
2026-06-30 20:21:17 | UnderwritingAgent | Credit Check | REJECTED | Credit Score: 680
